Country Name,Country Code,Series Name,Series Code,1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013]
Malta,MLT,"Population, total",SP.POP.TOTL,367618,371308,374797,377419,379905,382791,385287,387578,390087,393028,395969,398582,401268,403834,405308,406724,409379,412477,414508,416268,420028,425967
Marshall Islands,MHL,"Population, total",SP.POP.TOTL,48015,48944,49840,50702,51538,52358,53164,53834,54224,54413,54496,54493,54435,54337,54208,54038,53816,53593,53416,52971,52203,51352
Mauritania,MRT,"Population, total",SP.POP.TOTL,2147527,2237064,2315191,2380341,2428816,2484278,2550501,2620611,2695003,2761823,2821703,2883326,2946575,3012360,3081229,3153508,3233336,3322616,3419461,3524249,3636113,3742959
Mauritius,MUS,"Population, total",SP.POP.TOTL,1084441,1097374,1112846,1122457,1133996,1148284,1160421,1175267,1186873,1196287,1204621,1213370,1221003,1228254,1233996,1239630,1244121,1247429,1250400,1252404,1255882,1258927
Mexico,MEX,"Population, total",SP.POP.TOTL,84993164,86648447,88314424,89969572,91586555,93183094,94767284,96334810,97873442,99394288,100917081,102429341,103945813,105442402,106886790,108302973,109684489,111049428,112532401,114150481,115755909,117290686
"Micronesia, Fed. Sts.",FSM,"Population, total",SP.POP.TOTL,102893,106030,108844,110328,110785,111133,111406,111539,111709,111948,111992,111805,111438,110940,110301,109532,108704,107868,107588,107887,108232,108609
Moldova,MDA,"Population, total",SP.POP.TOTL,2975621,2974817,2967585,2953200,2947293,2936413,2935227,2930622,2924668,2918135,2911385,2903198,2896023,2888985,2880967,2874299,2868833,2865213,2862354,2860699,2860324,2859558
Monaco,MCO,"Population, total",SP.POP.TOTL,30794,31024,31253,31482,31719,31968,32209,32394,32465,32444,32386,32316,32236,32141,32011,31823,31862,32401,33178,33945,34700,35425
Mongolia,MNG,"Population, total",SP.POP.TOTL,2236494,2270311,2301510,2330334,2357033,2381771,2405148,2428488,2450979,2472601,2494617,2516454,2537949,2559255,2581242,2605643,2633887,2666713,2702520,2743938,2792349,2845153
Montenegro,MNE,"Population, total",SP.POP.TOTL,608516,610170,611389,611712,611003,609520,607662,606001,604950,607389,609828,612267,613353,614261,615025,615875,616969,618294,619428,620079,620601,621207
Morocco,MAR,"Population, total",SP.POP.TOTL,25400676,25806777,26201551,26599048,26999093,27397118,27791825,28176997,28554415,28930097,29301817,29661270,30033125,30431902,30833022,31232633,31634992,32042877,32464865,32903699,33352169,33803527
Mozambique,MOZ,"Population, total",SP.POP.TOTL,13816881,14206254,14912873,15594830,16079553,16521724,16923195,17337893,17768505,18220716,18694946,19186754,19694411,20211114,20735982,21280513,21845571,22436660,23073723,23760421,24487611,25251731
Myanmar,MMR,"Population, total",SP.POP.TOTL,41237813,41788302,42337109,42880186,43423369,43972046,44516185,45041636,45538332,46014826,46480230,46924293,47338446,47724471,48088274,48445647,48729486,49015836,49390988,49794522,50218185,50648334
Namibia,NAM,"Population, total",SP.POP.TOTL,1461687,1509834,1558449,1605370,1650066,1693242,1735953,1778277,1819141,1856402,1888525,1915425,1939406,1962865,1986558,2011492,2038552,2067919,2099271,2132340,2167470,2204510
Nauru,NRU,"Population, total",SP.POP.TOTL,10129,10226,10274,10316,10345,10363,10377,10383,10377,10363,10351,10344,10335,10318,10294,10267,10243,10233,10241,10283,10444,10694
Nepal,NPL,"Population, total",SP.POP.TOTL,20702133,21267359,21794751,22305571,22783969,23249417,23703328,24143157,24559500,24956071,25332178,25682908,26003965,26285110,26518971,26713655,26881544,27026941,27161567,27266399,27330694,27381555
Netherlands,NLD,"Population, total",SP.POP.TOTL,15184166,15290368,15382838,15459006,15530498,15610650,15707209,15812088,15925513,16046180,16148929,16225302,16281779,16319868,16346101,16381696,16445593,16530388,16615394,16693074,16754962,16804432
New Caledonia,NCL,"Population, total",SP.POP.TOTL,179799,184496,189482,193816,197564,201418,205279,209214,213230,217324,221490,225296,228750,232250,235750,239250,242750,245950,249750,254350,259000,263650
New Zealand,NZL,"Population, total",SP.POP.TOTL,3531700,3572200,3620000,3673400,3732000,3781300,3815000,3835100,3857700,3880500,3948500,4027200,4087500,4133900,4184600,4223800,4259800,4302600,4350700,4384000,4408100,4442100
Nicaragua,NIC,"Population, total",SP.POP.TOTL,4427172,4526689,4625260,4721929,4812391,4895962,4974552,5049878,5123222,5192764,5259006,5323062,5386223,5454678,5529811,5607453,5687744,5770639,5855734,5942553,6030607,6119379
Niger,NER,"Population, total",SP.POP.TOTL,8907644,9193078,9493324,9813918,10149937,10494201,10854920,11231469,11622665,12031430,12456517,12900790,13366885,13855221,14365168,14897873,15455175,16037915,16647543,17283112,17954407,18653199
Nigeria,NGA,"Population, total",SP.POP.TOTL,100182045,102775465,105456121,108187610,110956183,113791181,116690527,119695565,122851984,126152678,129583026,133119801,136756848,140490722,144329764,148294028,152382506,156595758,160952853,165463745,170075932,174726123
North Macedonia,MKD,"Population, total",SP.POP.TOTL,2018023,1996893,1982458,1983964,1994226,1996869,2007523,2017142,2026350,2034882,2020157,2026773,2032544,2036855,2040228,2043559,2046898,2050671,2055004,2058539,2061044,2064032
Northern Mariana Islands,MNP,"Population, total",SP.POP.TOTL,48128,47948,47780,48717,53367,60817,68501,76237,80338,79479,77162,74623,71898,69025,66060,63050,60032,57056,54087,52520,52359,52141
Norway,NOR,"Population, total",SP.POP.TOTL,4286401,4311991,4336613,4359184,4381336,4405157,4431464,4461913,4490967,4513751,4538159,4564855,4591910,4623291,4660677,4709153,4768212,4828726,4889252,4953088,5018573,5079623
Oman,OMN,"Population, total",SP.POP.TOTL,1985227,2071868,2133675,2172672,2209958,2245588,2279727,2312600,2344253,2374653,2403659,2431600,2468855,2515192,2560649,2605700,2651028,2697537,2881914,3206870,3535579,3816680
Pakistan,PAK,"Population, total",SP.POP.TOTL,122375179,125546615,129245139,133117476,137234810,141330267,145476106,149694462,154369924,159217727,163262807,166876680,170648620,174372098,178069984,181924521,185931955,190123222,194454498,198602738,202205861,205337562
Palau,PLW,"Population, total",SP.POP.TOTL,16004,16380,16770,17209,17732,18297,18852,19380,19726,19828,19851,19880,19907,19831,19619,19366,19102,18826,18540,18240,17946,17805
Panama,PAN,"Population, total",SP.POP.TOTL,2554382,2607499,2661385,2716067,2771606,2827992,2885177,2943120,3001731,3061024,3120990,3181608,3243311,3305868,3368573,3431614,3495276,3559343,3623617,3688674,3754862,3821556
Papua New Guinea,PNG,"Population, total",SP.POP.TOTL,4136644,4291588,4451694,4616439,4785895,4960439,5138829,5321388,5508297,5698489,5892596,6090980,6293166,6498818,6708217,6921066,7137988,7358890,7583269,7806637,8026545,8245627
Paraguay,PRY,"Population, total",SP.POP.TOTL,4277051,4386202,4495301,4603917,4711655,4818289,4923449,5026031,5123819,5211541,5286512,5353254,5416324,5476878,5534675,5590145,5645148,5702574,5768613,5843939,5923322,6005652
Peru,PER,"Population, total",SP.POP.TOTL,23047248,23513882,23983258,24449055,24907304,25365386,25818226,26252239,26654439,27014909,27334503,27623341,27893911,28147267,28381078,28600387,28806185,29009326,29229572,29477721,29749589,30038809
Philippines,PHL,"Population, total",SP.POP.TOTL,64543525,66083321,67650283,69250468,70944969,72718837,74491918,76249064,77958223,79626086,81285572,82942837,84607501,86261250,87901835,89561377,91252326,92946951,94636700,96337913,98032317,99700107
Poland,POL,"Population, total",SP.POP.TOTL,38363667,38461408,38542652,38594998,38624370,38649660,38663481,38660271,38258629,38248076,38230364,38204570,38182222,38165445,38141267,38120560,38125759,38151603,38042794,38063255,38063164,38040196
Portugal,PRT,"Population, total",SP.POP.TOTL,9952494,9964675,9991525,10026176,10063945,10108977,10160196,10217828,10289898,10362722,10419631,10458821,10483861,10503330,10522288,10542964,10558177,10568247,10573100,10557560,10514844,10457295
Puerto Rico,PRI,"Population, total",SP.POP.TOTL,3585176,3615497,3649237,3683103,3724655,3759430,3781101,3800081,3810605,3818774,3823701,3826095,3826878,3821362,3805214,3782995,3760866,3740410,3721525,3678732,3634488,3593077
Qatar,QAT,"Population, total",SP.POP.TOTL,471293,486041,500683,515133,529265,550591,580997,613302,645937,678831,713186,748525,777943,848710,1015060,1231893,1444277,1610274,1713504,1804171,1905660,2035501
Romania,ROU,"Population, total",SP.POP.TOTL,22794284,22763280,22730211,22684270,22619004,22553978,22507344,22472040,22442971,22131970,21730496,21574326,21451748,21319685,21193760,20882982,20537875,20367487,20246871,20147528,20058035,19983693
Russian Federation,RUS,"Population, total",SP.POP.TOTL,148538197,148458777,148407912,148375787,148160129,147915361,147670784,147214776,146596869,145976482,145306497,144648618,144067316,143518814,143049637,142805114,142742366,142785349,142849468,142960908,143201721,143506995
Rwanda,RWA,"Population, total",SP.POP.TOTL,7657208,7904740,6732665,5686897,6715510,7666732,7914645,8009587,8109989,8223941,8372306,8567992,8791853,9026299,9270066,9523168,9781996,10043737,10309031,10576932,10840334,11101350
Samoa,WSM,"Population, total",SP.POP.TOTL,169799,171362,173107,174902,176713,178543,180385,182211,184008,185530,186630,187440,188073,188626,189379,190478,191787,193176,194672,196351,198124,199939
San Marino,SMR,"Population, total",SP.POP.TOTL,23808,24181,24535,24886,25235,25596,25997,26404,26823,27335,27969,28601,29093,29508,29959,30372,30700,31059,31608,32495,33132,33285
Sao Tome and Principe,STP,"Population, total",SP.POP.TOTL,125648,128182,130666,133077,135412,137656,139790,141808,143714,146258,149841,153762,157697,161680,165725,169845,174004,178128,182138,186044,189924,193757
Saudi Arabia,SAU,"Population, total",SP.POP.TOTL,17281350,17846461,18367528,18888857,19410280,19938377,20472580,21009660,21547390,22085929,22623415,23150847,23661808,24397644,25382870,26400068,27437353,28483797,29411929,30150945,30821543,31482498
Senegal,SEN,"Population, total",SP.POP.TOTL,7974514,8196551,8416997,8632681,8843423,9051539,9261526,9478564,9704287,9938027,10180950,10434504,10698691,10974057,11263387,11563869,11872929,12195029,12530121,12875880,13231833,13595566
Serbia,SRB,"Population, total",SP.POP.TOTL,7646424,7699307,7734639,7625357,7617794,7596501,7567745,7540401,7516346,7503433,7496522,7480591,7463157,7440769,7411569,7381579,7350222,7320807,7291436,7234099,7199077,7164132
Seychelles,SYC,"Population, total",SP.POP.TOTL,70763,72253,74205,75304,76417,77319,78846,80410,81131,81202,83723,82781,82475,82858,84600,85033,86956,87298,89770,87441,88303,89949
Sierra Leone,SLE,"Population, total",SP.POP.TOTL,4301566,4295689,4314953,4324149,4347370,4405028,4449975,4475145,4584067,4857096,5140113,5350907,5533329,5683334,5809774,5939163,6090860,6259842,6436698,6612385,6788587,6964859
Singapore,SGP,"Population, total",SP.POP.TOTL,3230698,3313471,3419048,3524506,3670704,3796038,3927213,3958723,4027887,4138012,4175950,4114826,4166664,4265762,4401365,4588599,4839396,4987573,5076732,5183688,5312437,5399162
Sint Maarten (Dutch part),SXM,"Population, total",SP.POP.TOTL,31345,31823,31735,31596,31410,31195,31240,31084,30519,30600,30777,31472,32488,33011,33441,33811,33964,34238,34056,33435,34640,36607
Slovak Republic,SVK,"Population, total",SP.POP.TOTL,5305016,5325305,5346331,5361999,5373361,5383291,5390516,5396020,5388720,5378867,5376912,5373374,5372280,5372807,5373054,5374622,5379233,5386406,5391428,5398384,5407579,5413393
Slovenia,SVN,"Population, total",SP.POP.TOTL,1996498,1991746,1989443,1989872,1988628,1985956,1981629,1983045,1988925,1992060,1994530,1995733,1997012,2000474,2006868,2018122,2021316,2039669,2048583,2052843,2057159,2059953
Solomon Islands,SLB,"Population, total",SP.POP.TOTL,343916,354086,364505,375189,386069,397050,408145,419229,429978,440395,450760,461216,471785,482486,493430,504619,516001,527833,540394,553721,567763,582365
Somalia,SOM,"Population, total",SP.POP.TOTL,6428141,6620729,6959828,7210930,7472450,7734313,8056862,8384479,8721465,9070747,9411103,9758281,10117354,10467292,10784973,11118092,11444870,11730037,12026649,12216837,12440326,12852485
South Africa,ZAF,"Population, total",SP.POP.TOTL,41760755,42525440,43267982,43986084,44661603,45285048,45852166,46364681,46813266,47229714,47661514,48104048,48556071,49017147,49491756,49996094,50565812,51170779,51784921,52443325,53145033,53873616
South Sudan,SSD,"Population, total",SP.POP.TOTL,4956969,5018172,5142863,5302042,5434894,5589410,5699436,5850145,6114440,6394431,6686100,6992367,7317118,7662654,8029517,8417823,8823888,9229227,9714419,10243050,10701604,11106031
Spain,ESP,"Population, total",SP.POP.TOTL,39157685,39361262,39549108,39724050,39889852,40057389,40223509,40386875,40567864,40850412,41431558,42187645,42921895,43653155,44397319,45226803,45954106,46362946,46576897,46742697,46773055,46620045
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,17624457,17825611,18011744,18177572,18322506,18449123,18560798,18670411,18776371,18920275,19110707,19303180,19490431,19673866,19870706,20078655,20285643,20482477,20668557,20859743,21017147,21131756
St. Kitts and Nevis,KNA,"Population, total",SP.POP.TOTL,40900,41447,42001,42550,43097,43656,44230,44825,45461,45986,46264,46431,46580,46725,46874,47015,47156,47286,47403,47581,47727,47767
St. Lucia,LCA,"Population, total",SP.POP.TOTL,146420,148595,150561,152348,153969,155454,156855,158256,159500,160594,161799,163047,164239,165386,166470,167518,168576,169688,170935,172145,173124,173978
St. Martin (French part),MAF,"Population, total",SP.POP.TOTL,29035,29247,29380,29435,29407,29299,29102,29099,29610,30387,31160,31929,32697,33452,34183,34887,35541,36132,36458,36350,36026,35639
St. Vincent and the Grenadines,VCT,"Population, total",SP.POP.TOTL,113222,113621,113944,114174,114290,114276,114165,113995,113813,113641,113450,113108,112608,112043,111427,110824,110316,109840,109308,108703,108083,107450
Sudan,SDN,"Population, total",SP.POP.TOTL,21780059,22163251,22703631,23290602,23862258,24454372,25029144,25634162,26298773,26947253,27570318,28188977,28831550,29540577,30332968,31191163,32065241,32948155,33739933,34419624,35159792,35990704
Suriname,SUR,"Population, total",SP.POP.TOTL,419521,422375,426548,434490,443834,452887,461749,470458,478998,487394,495666,503780,510572,516220,522023,527946,533938,539987,546080,552146,558111,563947
Sweden,SWE,"Population, total",SP.POP.TOTL,8668067,8718561,8780745,8826939,8840998,8846062,8850974,8857874,8872109,8895960,8924958,8958229,8993531,9029572,9080505,9148092,9219637,9298515,9378126,9449213,9519374,9600379
Switzerland,CHE,"Population, total",SP.POP.TOTL,6875364,6938265,6993795,7040687,7071850,7088906,7110001,7143991,7184250,7229854,7284753,7339001,7389625,7437115,7483934,7551117,7647675,7743831,7824909,7912398,7996861,8089346
Syrian Arab Republic,SYR,"Population, total",SP.POP.TOTL,13156406,13537060,13922626,14313450,14708879,15103996,15500542,15901201,16307654,16727948,17164021,17611356,18084007,18583557,19432009,20703005,21474059,21827220,22337563,22730733,22605577,21495821
Tajikistan,TJK,"Population, total",SP.POP.TOTL,5656208,5717806,5803993,5916173,6035600,6117069,6156805,6189565,6272998,6408810,6541755,6672492,6801204,6929145,7057417,7188391,7324627,7468596,7621779,7784819,7956382,8136610
Tanzania,TZA,"Population, total",SP.POP.TOTL,27580723,28469017,29598323,30560071,31140733,31785846,32626498,33499772,34463704,35414469,36353531,37333918,38360879,39439505,40562052,41716497,42870884,43957933,45110527,46416031,47786137,49253643
Thailand,THA,"Population, total",SP.POP.TOTL,56939020,57776082,58610010,59424834,60211096,60989108,61745217,62442651,63066603,63649892,64222580,64776956,65311166,65821360,66319525,66826754,67328239,67813654,68270489,68712846,69157023,69578602
Timor-Leste,TLS,"Population, total",SP.POP.TOTL,783705,795179,807115,819226,831269,843341,855409,866649,878360,893001,909639,926721,945989,969313,994564,1019362,1043076,1065540,1088486,1112976,1137676,1161555
Togo,TGO,"Population, total",SP.POP.TOTL,4106219,4078392,4092612,4279566,4445883,4592550,4728297,4867941,5008035,5145426,5281538,5421001,5565218,5711597,5874240,6047537,6222482,6398624,6571855,6748672,6926635,7106229
Tonga,TON,"Population, total",SP.POP.TOTL,99260,99492,99731,99977,100195,100658,101343,101982,102603,103210,103804,104410,105036,105633,106190,106638,106932,107144,107383,107611,107502,107089
Trinidad and Tobago,TTO,"Population, total",SP.POP.TOTL,1285502,1293974,1301393,1307822,1313434,1318171,1322572,1327063,1332203,1338567,1345964,1353548,1361172,1369075,1376919,1384861,1392803,1401191,1410296,1420020,1430377,1440729
Tunisia,TUN,"Population, total",SP.POP.TOTL,8802540,8977173,9143141,9294102,9430550,9557948,9677148,9788067,9893316,9995123,10094561,10193798,10292225,10388344,10483558,10580395,10680380,10784504,10895063,11032528,11174383,11300284
Turkiye,TUR,"Population, total",SP.POP.TOTL,56302037,57296008,58310245,59305490,60293786,61277426,62242204,63185615,64113547,65072018,65988663,66867327,67785075,68704715,69601333,70158112,71051678,72039206,73142150,74223629,75175827,76147624
Turkmenistan,TKM,"Population, total",SP.POP.TOTL,3926369,4031698,4133037,4226623,4301093,4363672,4431517,4501079,4569132,4635094,4698968,4758988,4819792,4885775,4954029,5024894,5100083,5180957,5267970,5360811,5458682,5560095
Turks and Caicos Islands,TCA,"Population, total",SP.POP.TOTL,13014,13704,14402,15101,15806,16515,17239,17984,18744,19578,20598,21739,22869,23995,25128,26268,27422,28581,29726,30816,32081,33594
Tuvalu,TUV,"Population, total",SP.POP.TOTL,9466,9517,9559,9585,9611,9630,9634,9640,9638,9621,9609,9668,9791,9912,10030,10149,10272,10408,10550,10700,10854,10918
Uganda,UGA,"Population, total",SP.POP.TOTL,18801966,19462958,20125021,20680831,21249572,21876935,22537658,23279247,24020697,24763325,25545090,26354736,27146084,27946588,28773227,29629804,30509862,31412520,32341728,33295738,34273295,35273570
Ukraine,UKR,"Population, total",SP.POP.TOTL,52150400,52179200,51921400,51512800,51057800,50594600,50144500,49674000,49176500,48662400,48202470,47812949,47451626,47105171,46787786,46509355,46258189,46053331,45870741,45706086,45593342,45489648
United Arab Emirates,ARE,"Population, total",SP.POP.TOTL,2116231,2223284,2329024,2433988,2572735,2746119,2921130,3097563,3275333,3454198,3633655,3813443,3993339,4280993,4898954,5872624,6988685,7992644,8481771,8575205,8664969,8751847
United Kingdom,GBR,"Population, total",SP.POP.TOTL,57580402,57718614,57865745,58019030,58166950,58316954,58487141,58682466,58892514,59119673,59370479,59647577,59987905,60401206,60846820,61322463,61806995,62276270,62766365,63258810,63700215,64128273
United States,USA,"Population, total",SP.POP.TOTL,256514000,259919000,263126000,266278000,269394000,272657000,275854000,279040000,282162411,284968955,287625193,290107933,292805298,295516599,298379912,301231207,304093966,306771529,309327143,311583481,313877662,316059947
Uruguay,URY,"Population, total",SP.POP.TOTL,3153732,3171747,3189945,3208300,3226633,3245069,3262683,3278963,3292224,3300939,3306441,3310202,3313801,3317665,3322282,3328651,3336126,3344156,3352651,3361637,3371133,3381180
Uzbekistan,UZB,"Population, total",SP.POP.TOTL,21449000,21942000,22377000,22785000,23225000,23667000,24051000,24311650,24650400,24964450,25271850,25567650,25864350,26167000,26488250,26868000,27302800,27767400,28562400,29339400,29774500,30243200
Vanuatu,VUT,"Population, total",SP.POP.TOTL,158577,162548,166560,170612,174714,178871,183088,187432,192074,197034,202125,207258,212422,217632,222923,228345,233952,239689,245453,251294,257313,263534
"Venezuela, RB",VEN,"Population, total",SP.POP.TOTL,20700461,21172100,21640833,22107286,22572110,23037561,23503819,23966960,24427729,24880203,25330929,25782029,26226927,26668785,27102081,27525097,27933833,28327892,28715022,29096159,29470426,29838021
Viet Nam,VNM,"Population, total",SP.POP.TOTL,69788747,71176405,72501087,73759110,74946448,76058603,77128424,78123713,79001142,79817777,80642308,81475825,82311227,83142095,83951800,84762269,85597241,86482923,87411012,88349117,89301326,90267739
Virgin Islands (U.S.),VIR,"Population, total",SP.POP.TOTL,105712,106578,107318,107818,108095,108357,108537,108599,108642,108549,108509,108505,108466,108453,108369,108337,108397,108404,108357,108290,108188,108041
West Bank and Gaza,PSE,"Population, total",SP.POP.TOTL,2163591,2262676,2366298,2474666,2587997,2706518,2776568,2848431,2922153,2997784,3075373,3154969,3236626,3320396,3406334,3494496,3591977,3689099,3786161,3882986,3979998,4076708
"Yemen, Rep.",YEM,"Population, total",SP.POP.TOTL,14433771,14988047,15553171,16103339,16614326,17108681,17608133,18114552,18628700,19143457,19660653,20188799,20733406,21320671,21966298,22641538,23329004,24029589,24743946,25475610,26223391,26984002
Zambia,ZMB,"Population, total",SP.POP.TOTL,8074337,8270917,8474216,8684135,8902019,9133156,9372430,9621238,9891136,10191964,10508294,10837973,11188040,11564870,11971567,12402073,12852966,13318087,13792086,14265814,14744658,15234976
Zimbabwe,ZWE,"Population, total",SP.POP.TOTL,10641501,10794918,10858594,10994041,11178171,11362401,11548364,11716454,11834676,11910978,11984644,12075828,12160881,12224753,12330490,12450568,12550347,12679810,12839771,13025785,13265331,13555422
